,tweet
3200,"['lmsoooo', 'dawn', 'got', 'birch', 'mane', 'low', 'key', 'got', 'thick', 'say', 'twitter', 'know', 'wolv']"
3201,"['night', 'look', 'size', 'plu', 'get', 'hit', 'as', 'look', 'like', 'fight', 'life', 'I', 'speak', 'dat', 'bitch', 'run']"
3202,"['shoot', 'nigger', 'bitch', 'knee']"
3203,"['ye', 'get', 'twitter', 'lame', 'negro', 'never', 'learn', 'use', 'internet']"
3204,"['seen', 'sum', 'I', 'tri', 'see', 'low', 'n', 'took']"
3205,"['ahahah', 'yauza', 'fuck', 'bigger']"
3206,['trash']
3207,"['aid', 'fuck', '?', 'such', 'sunk', 'bitch']"
3208,"['ah', 'see', 'I', 'still', 'rook', 'knowledg', 'he', 'I', 'progress']"
3209,"['you', 're', 'littl', 'bitch', 'x']"
3210,"['leav', 'beaver', 'retard']"
3211,"['light', 'skin', 'night', 'I', 'even', 'color', 'may']"
3212,"['night', 'talk', 'shit', 'period', 'nun', 'new', 'white', 'bitch', 'go', 'threw', 'everi', 'damn', 'day', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
3213,"['bitch', 'night', 'cloth', 'shut', 'to', 'as', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
3214,['peckerwood']
3215,['greater']
3216,"['record', '#nohomo', 'care', 'unless', 'got', 'see', 'it', 'everi', 'sexual', 'even', 'bird', 'dog', 'not']"
3217,"['like', 'dem', 'mexican', 'hoe', 'day', 'suck', '5', 'dollar']"
3218,"['bout', 'smack', 'bitch']"
3219,"['brow', 'bitch', 'realli', 'stood', 'like', 'go', 'give', 'penni', '?']"
3220,"['except', 'glad', 'rather', 'bitch', 'funni']"
3221,"['still', 'bitch']"
3222,"['stop', 'bitch']"
3223,"['rememb', '94', 'bitch', 'stop', 'drink', 'get', 'stalk', '#win', 'advic']"
3224,"['or', 'one', 'talk', 'bitch']"
3225,"['yeah', 'fuck', 'jigsaw-fac', 'bitch', 'everyday', 'b']"
3226,"['thank', 'dumb', 'bitch']"
3227,"['bitch', 'll']"
3228,"['bitch', 'll', 'nap', 'sero', 'passu']"
3229,"['said', 'you.s.wa', 'full', 'nice', 'give', 'sea', 'pp', 'i', 'thought', 'mean', 'except', 'bitter', 'finger', '?', '#evolv', '?']"
3230,"['true', 'way', 'gaze', 'broad', 'day', 'the', 'everyon', 'game', 'candi', 'crush', 'angri', 'bird']"
3231,"['oh', 'wait', 'can', 'get', 'photo', 'plain', ""creed'"", 'side', 'project', 'itself', '?', 'bad', 'yeah', 'for', 'embarrass']"
3232,"['pas', 'aorta', 'pp', 'ff', 'flood', 'newsfe', 'next', 'target', 'he', 'as', 'texan']"
3233,"['ll', 'go', 'fun', 'got', 'two', 'night', 'way']"
3234,"['sicca', 'dint', 'no', 'bout', 'da', 'fine']"
3235,"['prime', 'lelya', 'would', 'trash', '140', 'duke', 'today']"
3236,"['whatev', 'cabbi', 'he']"
3237,"['cabbi', 'hetti', '?']"
3238,"['alway', 'bitch']"
3239,"['night', 'da', 'back']"
3240,"['node', 'trash', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'loudly_crying_fac', 'loudly_crying_fac', 'loudly_crying_fac']"
3241,"['heyyyyyyyyyyy', 'far', 'boy', 'go', 'watch', 'play', '?']"
3242,"['say', 'old', 'man', 'hope', 'surviv', 'anoth', '10', 'year', 'silli', 'jigger', 'too', 'monkey']"
3243,"['ll', 'hussi', 'got', 'rich', 'night', 'lose', 'mind', 'too', 'got', 'dizzi', 'breezi', ""beef'd"", 'out', 'pu', ""devil'"", 'playground']"
3244,"['to', 'mind', 'rose', 'colder', 'him', 'way', 'each', 'ani', 'bitch', 'give', 'problem', ""wiz'"", 'doe']"
3245,"['color', 'latin', 'jewish', 'move', 'in', 'ruin', 'neighborhood', 'wipe', 'out']"
3246,"['hear', 'a', 'he']"
3247,"['sleep', 'he']"
3248,"['funni', 'he', 'gone', 'solo']"
3249,"['ll', 'morn', 'he']"
3250,"['now', 'he', 'let', 'see', 'got', 'keith']"
3251,"['owe', 'two', 'he', 'want', 'hear', 'shit', 'he']"
3252,"['ffffffffffffuck', 'marathon', 'rebellion', 'bitch']"
3253,"['bitch', 'happen', 'come', 'thou']"
3254,"['first', 'call', 'he', '?', 'make', 'go', 'sharkeisha', 'ok', 'too', 'too']"
3255,"['oh', 'speak', 'son', 'bitch']"
3256,"['babe', 'thought', 'count', 'bitch', 'that']"
3257,"['bitch', 'sessil', 'still', 'love', 'anyway']"
3258,"['den', 'enjoy', 'da', 'note', 'wit', 'color', 'man', '2', 'week', 'let', 'u', 'need', 'ta', 'bring', 'da', 'magnum']"
3259,"[""shit'"", 'like', 'eggplant', 'babi', 'black', 'big', 'enough', 'dat', 'da', 'woman', 'get', 'dem', 'piec']"
3260,"['want', 'call', 'bout', 'vitaligro', 'she', 'doctor', 'fo', 'da', 'color', 'folk']"
3261,"['dem', 'color', 'boy', 'say', 'dare', 'babi', 'daddi', 'got', 'protect', 'semen', 'da', 'lock', 'key', 'wrap', 'x']"
3262,"['da', 'n', 'mean', 'negro', '?']"
3263,"['den', 'birch', 'n', 'shot', 'night']"
3264,"['I', 'go', 'come', 'pas', 'bitch']"
3265,"['ll', 'each', 'bitch', 'put', 'to', 'life', 'ole', 'drink', 'water', '8', 'as', 'night', '#pissinindabedassboy']"
3266,"['inn', 'bitch']"
3267,"['shut', 'bitch']"
3268,"['love', 'hoe']"
3269,"['want', 'make', 'one', 'hetti', 'nunchuck', 'come', 'singl', 'double_end']"
3270,"['get', 'bacon', 'stuf', 'crust', 'the', 'trash']"
3271,"['he', 'sweet']"
3272,"['basic', 'bitch', 'comeback', 'expect']"
3273,"['brooooo', 'miss', 'bitch']"
3274,"['grant', 'crack', 'bad', 'say', 'white', 'person', 'say', 'one', 'slave']"
3275,"['hope', 'gun', 'get', 'attack', 'suppos', 'sofa', 'bunch', 'did', 'snake', 'maggoti']"
3276,"['easier', 'bitch']"
3277,"['egg', 'spasm', 'bitch']"
3278,"['go', 'pray', 'church', 'someth', 'far', 'one', 'care', 'religi', 'bullshit']"
3279,"['i', 'want', 'eat', 'hussi', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
3280,"['band', 'white', 'trash', 'white', 'trash', 'would', 'buy', 'album']"
3281,"['neither', 'fuck', 'cat', 'hussi']"
3282,"['may', 'real', 'shit', 'though', 'birch', 'dumb', 'fuck', 's']"
3283,"['he', 'told', 'go', 'chop', 'dick', 'baltimor']"
3284,"['watch', 'st', 'season', 'bc', 'want', 'see', 'if', 'side', 'elijah', 'see', 'thirsti', 'he', 'use', ""walgreen'"", 'hair', 'dye']"
3285,"['alway', 'pathet', 'must', 'desper', 'seek', 'attent', 'purpos', 'matter', 'up', 'write', 'never', 'chang']"
3286,"['man', 'get', 'to', 'bitch', 'as', 'of', 'mention', 'man', 'the', 'is', 'trip']"
3287,"['bitch', 'fuck', 'lay', 'wat', 'want']"
3288,"['fight', 'ah', 'dumb', 'bitch', 'unamused_fac']"
3289,"['right', 'bitch', 'I', 'go', 'see']"
3290,"['come', 'record', 'say', 'bitch']"
3291,"['fuck', 'chicken', 'sandwich', 'ho']"
3292,"['juli', 'tell', 'crybabi', 'black', 'get', 'someon', 'bulk', 'dress', 'white', 'face', 'nigger', 'alway', 'whine']"
3293,"['jay-z', 'by', 'never', 'be', 'just', 'trash']"
3294,"['screw', 'littl', 'porch', 'monkey']"
3295,"['soon', 'n', 'soon', 'want', 'b', 'got', 'have', 'except', 'time', 'jail']"
3296,"['idiot', 'except', 'you', 'rest', 'slut', 'as', 'birch']"
3297,"['fat', 'birch', 'die']"
3298,"['pull', 'let', '#ferguson', 'end', 'themselv', 'week', 'wast', 'manpow', 'r', 'attent', 'hi']"
3299,"['got', 'he', 'bootleg', 'hata', 'want', 'borrow']"
3300,"['biiiiitch', 'he', 'look', 'perfect', 'hata', 'right']"
3301,"['woman', 'get', 'relationship', 'quick', 'feel', 'like', 'he', 'sex']"
3302,"['get', 'it', '?', 'bc', 'call', 'tool', 'call', 'he', 'bc', 'hoe', 'tool', 'ahahah', 'I', 'funni']"
3303,"['new', 'show', 'thursday', 'tini', 'broadcast', 'moon', 'made', 'counti', 'blue', 'chees', 'know']"
3304,"['so', 'put', 'crack', 'great', '?']"
3305,"['asia', 'hussi', '?']"
3306,"['I', 'straight', 'call', 'rush', 'bitch', 'kill', 'vice']"
3307,"['bitch', 'got', 'plan', 'fuck', 'tonight', 'said', 'friday', 'night']"
3308,"['bitch', 'make', 'plan', 'hussi', 'a', 'I', 'charg', 'follow', 'deni', 'I', 'down', 'friday', 'fight']"
3309,"['fuck', 'brush', 'show', 'fuck', 'hussi']"
3310,"['hata', 'right', 'fig', 'calm', 'itself']"
3311,"['hata', 'plain', 'night', 'fuck', 'birch', 'make', 'money', 'smoke', 'straight', 'of', 'rush']"
3312,"['right', 'friday', 'fig']"
3313,"['friday', 'c', 'berg', 'mall', 'get', 'whip', 'like', 'birch', 'fuck']"
3314,"['due', 'fuck', 'maggot', 'friday', 'go', 'bitch', 'set', 'standard', 'make', 'break', 'bitch']"
3315,"['fuck', 'block', 'white', 'as', 'tri', 'sta', 'shit', 'like', 'fuck', 'queer', 'fuck', 'night']"
3316,"['right', 'night', 'hata', 'fuck', 'queer', 'clear', 'schedul']"
3317,"['right', 'night', 'tonight', '9:00', 'c', 'berg', 'mall', 'bitch']"
3318,"['road', 'rage', 'much', 'maggot', '?']"
3319,"['cri', 'babi', 'back', 'bitch', '?']"
3320,"['straight', 'hoe', 'wait']"
3321,"['go', 'anoniemeaso', 'meet', 'left', 'were', 'gauze.not', 'seed', 'net', 'big', 'hoofdstuk', 'he', 'hall', 'in', ""m'n"", 'id', '?']"
3322,"['no', 'night', 'go', 'work', 'quit', 'tri', 'kill', ""night'"", 'vice', 'broke', 'bitch']"
3323,"['yeah', 'quit', 'bitch', 'edit']"
3324,"['get', 'devil', 'first', 'bitch', 'roast']"
3325,"['left', 'retard']"
3326,"['never', 'realli', 'rock', 'white', 'sole', 'feel', 'a', 'brow', 'these', '?', 'favorit', 'foam', 'time']"
3327,"['I', 'multipl', 'class', 'realli', 'rare', 'also', 'call', 'teacher', 'bitch', 'twitter']"
3328,"['thank', 'fig', 'winking_face_with_tongu']"
3329,"['did', 'bitch', 'alway', 'begin', 'microwav', 'catch', 'shit', 'mufucka', 'alway', 'like', 'bye', 'galicia']"
3330,"['bc', 'trash', 'would', 'lie', 'that', '?', 'told', 'real']"
3331,"['actual', 'think', 'that', '?', 'll', 'bitch', 'punch', 'potato']"
3332,"['hussi', 'boa']"
3333,"['wonder', 'cross', 'deleg', 'young', 'black', 'men', 'ghetto', 'keep', 'away', 'harri', ""reid'"", 'friend']"
3334,"['terrac', 'want', 'one', 'hoe', 'face_with_tears_of_joy', 'raised_hand']"
3335,"['bitch', 'smoke', '?', '?']"
3336,"['fuck', 'redskin', 'bitch']"
3337,"['shit', 'tell', 'hussi', 'come', 'retir', 'show', 'career', 'jackson', 'get', 'respect']"
3338,"['sick', 'muzzl', 'trash']"
3339,"['lick', 'hussi', 'crack']"
3340,"['ill', 'finger', 'or', 'tight', 'hussi', 'slowli', 'moan', 'name', 'by']"
3341,"['bitch', 'perfect']"
3342,"['interest', '#thick']"
3343,"['brush', 'realli', 'rock', 'master', 'face', 'lmaoooo', 'polli', 'got', '0', 'birch', 'man']"
3344,"['know', 'hussi', 'hate', 'ask', 'the']"
3345,['trash']
3346,"['rang', 'even', 'hi', 'went', 'he', 'lighter', 'van', 'fleur', 'he', 'better', 'he', 'morel', 'compass', 'wert', 'in', 'ben', 'kleurenblind', ';']"
3347,"['laugh', 'joke', '9/11', 'big', 'differ', 'bitch']"
3348,"['want', 'got', 'want', 'got', 'america.they', 'got', 'word', 'nigger', 'want']"
3349,"['sal', 'tri', '2', 'pull', 'k', 'ferderlin', 'lazi', 'as', 'son', 'bitch']"
3350,"['act', 'to', 'newest', 'he', 'back', 'men', 'took', 'zest', 'it', 'not', 'meet', 'lozewoorden', 'puntjebijpaaltj', 'yeoman', 'z', 'dierngedrag']"
3351,"['walk', 'away', '?', 'hussi']"
3352,"['I', 'ask', 'question', 'support', 'border', 'jumper', 'support', 'illeg']"
3353,"['say', 'that', '?']"
3354,"['plu', 'trash', 'talk', 'know', 'especi', 'ole', 'miss']"
3355,"['go', 'direct', 'flight', 'price', 'done', 'layer', 'fli', 'bitch', 'enough']"
3356,"['I', 'just', 'tri', 'vara', 'away', 'nigger', 'brow']"
3357,"['and', 'last', 'time', 'I', 'ever', 'call', 'maggot']"
3358,"['s', 'retard', 'll']"
3359,"['ll', 'caitlyn', 'can', 'carri', '3', 'reward']"
3360,"['let', 'maggot', 'alreadi', 'cri', 'sleep']"
3361,"['what', 'bag', 'down', '?']"
3362,"['as', 'ore', 'name', 'that', 'castl']"
3363,"['soon', 'maggot', 'me', 'rank', 'pre', '6', 'post', '6', 'rank', 'still', 'pretti', 'me', 'tank', 'noth', 'special', 'mio', 'may', '+']"
3364,"['hum', 'good', 'go', 'bitch']"
3365,"['org', 'even', 'know', 'imlay', 'sq', 'is', 'i', 'would', 'like', 'look', 'bird', 'ran', 'hill', 'll']"
3366,"['bitch', 'far', 'between']"
3367,"['femm', 'guess', 'wore', 'hilli', 'lick', 'sweat', 'leg', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'birthday_cak', 'shortcak', 'clapping_hand', 'peach']"
3368,"['utf', 'he', 'answer', 'question']"
3369,"['low', 'into', 'red', 'dumbass', 'vote', 'corpor', 'hill', 'idiot', 'like', 'believ', '#duti']"
3370,"['move', 'countri', 'teabagg']"
3371,"['clue', '#heel']"
3372,"['old', 'old', 'wolf', 'hussi']"
3373,"['of', 'pick', 'tyranni', 'may']"
3374,"['ll', 'fuck', 'll', 'birch', 'shit', 'peep', 'smiling_face_with_sunglass', 'wasp', 'w', 'the']"
3375,['bitch']
3376,"['hate', 'creep', 'as', 'doll', 'call', 'data', 'I', 'like', 'bitch', 'to', 'daddi']"
3377,"['femm', 'find', 'twitter', 'been', 'hoe']"
3378,"['bitch', 'need', 'crutch']"
3379,"['hussi', 'pop', 'headstand', 'or', 'eat', 'watermelon']"
3380,"['na', 'young', 'bitch', 'got', 'school', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
3381,"['#blessjesu', 'amo', '3:3', 'two', 'walk', 'togeth', 'unless', 'agre', '?', '#differentlevel']"
3382,"['god', 'damn', 'chink']"
3383,"['word', 'school', 'flow', 'dumb', 'he']"
3384,"['here', 'fuck', 'hate', 'bitch']"
3385,"['told', 'birch', 'mad', 'even', 'g']"
3386,"['I', 'tri', 'bitch', 'soon']"
3387,"['may', 'hell', 'yea', 'love', 'thick', 'birch', 'thick', 'birch', 'love', 'fat', 'night']"
3388,"['bitch', 'know', 'smiling_face_with_sunglass', 'woman_danc', 'raising_hand', 'face_with_tears_of_joy']"
3389,"['well', 'canon', 'play', 'toll', 'equival', 'poleon', 'throw', 'new', 'fairi', 'type', 'him']"
3390,"['amen', 'sweet', '105', 'mm', 'ricket', 'victor', 'charli', 'leav', 'last', 'impress']"
3391,"['found', 'right', 'here', 'good', 'job', 'follow', 'bow', 'maggot']"
3392,"['could', 'swore', 'everyday', 'just', 'say', 'hoe', 'like', '2', 'day', 'ago', 'I', 'gay', 'what', 'next', '?', 'got', 'babi', 'way', 'face_with_tears_of_joy']"
3393,"['now', 'night', 'got', 'to', 'bitch', 'tip', 'toy', 'wooden', 'floor']"
3394,['retard']
3395,"['admit', 'I', 'one', 'tuck', 'tyranni']"
3396,"['send', 'fuck', 'challeng', 'quit', 'hussi']"
3397,"['meet', 'later', 'reach', 'around', 'charli', 'wrist']"
3398,"['#niggerfood', '#niggerperson', '#you', '#are', '#', 'a', '#nigger']"
3399,['crack']
3400,"['ok', 'wat', 'ever', 'say', 'white', 'polli', 'never', 'even', 'seen', 'shaft']"
3401,"['shut', 'wizard', 'maggot', 'nigger', 'count']"
3402,"['logic', 'birch', 'love', 'use', 'face', 'toilet']"
3403,"['yellow', 'spot', '?']"
3404,"['a', 'know', 'slang', 'I', 'racism', 'he', 'porch', 'monkey']"
3405,"['pet', 'vera', 'stripe', '?']"
3406,"['bitch', 'shut', 'hand', 'flower', 'sell', 'light', 'chang']"
3407,"['maggoti', 'page', 'they', '?', 'maggoti', 'offend']"
3408,"['I', 'american', 'give', '2', 'ship', 'bearer', 'ship', 'bearer', 'back']"
3409,"['look', 'like', 'littl', 'porch', 'monkey', 'me']"
3410,"['littl', 'count', 'die', 'care']"
3411,"['bitch', 'shoot', 'herself', '?', 'sick', 'shore']"
3412,"['he', 'hoe', 'like']"
3413,"['face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'bitch', 'account']"
3414,"['open', 'mind', 'bitch', 'beyondé', 'crazi', 'neutral_fac']"
3415,"['nice', 'dumb', 'bitch', 'put', 'nose', 'busi', 'eat', 'shit', 'white', 'trash', 'he']"
3416,"['brush', 'let', 'u', 'ignor', 'silli', 'he', 'pregnant', 'hell', 'mormon', 'tri', 'fuck', 'peopl']"
3417,"['gay', 'fan', 'bitch', 'juli', 'made', 'white']"
3418,"['bitch', 'look', 'like', 'spongebob']"
3419,"['shell', 'hussi', 'beat']"
3420,"['birch', 'lie']"
3421,"['bout', 'like', 'coupl', 'hour']"
3422,"['drunk', 'bitch', 'use', 'eat', 'as', 'relax']"
3423,"['finger', 'hussi', 'slowli', 'circular', 'motion']"
3424,"['finger', 'throb', 'hussi']"
3425,"['finger', 'wet', 'throb', 'hussi', 'slowli', 'cum', 'or', 'finger']"
3426,"['fuck', 'throb', 'hussi', 'slowli']"
3427,"['fuck', 'wet', 'hussi', 'or', 'huge', 'cock']"
3428,"['happi', 'cut', 'woke', 'white', 'nigger']"
3429,"['cell', 'yeah', 'fuck', 'sick', 'as', 'bitch']"
3430,"['hussi', 'ach', 'or', 'follow', 'be']"
3431,['nigger']
3432,"['hatchet', 'bitch', 'would']"
3433,"['juic', 'hussi']"
3434,"['wonder', 'sa', 'shook', 'follow', 'now', '?']"
3435,"['nice', 'ear', 'bitch', 'look', 'like', 'god', 'damn', 'eleph']"
3436,"['I', 'deliv', 'bitch', 'boy', 'anymor']"
3437,"['hussi', 'coochi', 'sinc', '16', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
3438,"['look', 'like', 'mmm', 'nigger']"
3439,"['birch', 'dick', 'look', 'I', 'fuck', 'beauti']"
3440,"['fight', 'want', 'fight', 'birch', 'know', 'fuck', 'am', 'fuck', 'look', 'like', 'that', '?', 'night', 'plea']"
3441,"['ah', 'I', 'would', 'never', 'ask', 'guy', 'ride', 'thick', 'use', 'get', 'troubl', 'trash-ass', 'bitch', '?']"
3442,"['let', 'get', 'deep', 'dish', 'vocal', 'mix', 'nagasaki', 'hiroshima', 'yellow', 'asia', 'fli', '^', 'n', 'empti', 'ill', 'egg', 'god', '?']"
3443,"['wonder', 'dare', 'color', 'folk', 'dare', '?']"
3444,"['well', 'ho', 'di', 'doe', 'thank']"
3445,"['bitch', 'bought', 'son', 'talk', 'bout', 'get', 'em', 'sold']"
3446,"['ll', 'night', 'walk', 'he', 'look', 'girl', 'even', 'want', 'buy', 'noth']"
3447,['he']
3448,"['speak', 'one', 'coher', 'sentenc', 'without', 'sound', 'like', 'fig', '?', 'serious']"
3449,"['joke', 'fulli', 'bitch', 'happi', 'uncl', 'stoop', 'even', 'acknowledg', 'nasti', 'as', 'may']"
3450,"['fuck', 'hussi']"
3451,"['show', 'bout', 'dem', 'color', 'diamond', 'talk', 'da', 'radio', 'diamond', 'get', 'color', 'stolen']"
3452,"['everi', 'time', 'beat', 'I', 'be', 'maggot', 'mayb', 'I', 'better', 'may']"
3453,"['mani', 'birch', 'on', 'need', 'chang', 'a', 'name', 'jebidiah', 'birch']"
3454,"['ah', 'who', '52', 'charact', 'bitch']"
3455,"['brush', 'I', 'joke', 'pop', 'trunk', 'I', 'bitch', 'as', 'niiiieeegggaaa']"
3456,"['bitch', 'as']"
3457,"['ratchetest', 'bitch']"
3458,"['realiz', 'a', 'hussi', 'stand', 'right', '?']"
3459,"['hey', 'follow', 'long', 'ago', 'go', 'nip', 'da', 'bud', 'like', 'or', 'big', 'the', 'know', 'white', 'devil', 'stole']"
3460,"['happi', 'midday', 'hussi', 'good', 'one']"
3461,"['ah', 'stupid', 'bitch']"
3462,"['love', 'be', 'new', 'one', 'save', 'hous', 'birch', 'lafa']"
3463,"['donn', 'dem', 'in', '?', 'I', 'go', 'bout', 'get', 'white', 'full', 'hetti', 'mass', 'find', 'out']"
3464,"['ok', 'fat', 'preciou', 'look', 'as', 'bitch', 'big', 'fat', 'back', 'bernhard', 'look', 'as', 'bitch', 'fix', 'grammar', 'still', 'fat']"
3465,"['awe', 'boy', 'smell', 'like', 'monkey', 'sex']"
3466,['hoe']
3467,"['look', 'like', 'floppi', 'bird']"
3468,"['must', 'think', 'bump', 'hussi', 'mind', 'I', 'eat', '#thing', 'make', '#qui', 'like', '#geiser']"
3469,"['call', 'yellow', 'bone']"
3470,"['even', 'real', 'word', 'must', 'hit', 'blunt', 'stand', 'make', 'shit', 'nigger', 'as', 'll']"
3471,"['bitch', 'shot', 'music', 'video']"
3472,"['birch', 'smack']"
3473,"['like', 'look', 'birch']"
3474,"['fuck', 'right', 'hussi']"
3475,"['birch', 'give', 'viru']"
3476,"['I', 'would', 'pop', 'dat', 'lemon', 'real', 'hussi']"
3477,"['id', 'break', 'littl', 'birch', 'finger']"
3478,"['done', 'spell', 'check', 'know', 'meant', 'fat', 'liber', 'duke', 'feminist', 'nasi', 'birch']"
3479,"['right', 'hussi']"
3480,"['like', 'soft', 'night', 'face_with_tears_of_joy']"
3481,"['say', 'see', 'bird', 'it', 'may']"
3482,"['big', 'long', 'lost', 'brother', 'swear', 'know', 'I', 'would', 'without', 'wetback']"
3483,"['bitch', 'night']"
3484,"['eye', 'tushin', 'one', 'brow', 'know', 'bitch', 'better', 'blow', 'had']"
3485,"['birch', 'get', 'inch', 'like']"
3486,"['or', 'say', 'mess', 'wit', 'hoe', '?', '#shadi']"
3487,"['ve', 'gun', 'game', 'hussi']"
3488,['far']
3489,"['guess', 'eat', 'crack', 'b', 'without']"
3490,"['appl', 'to', 'got', 'nl', 'channel', 'bitch', 'I', 'pretti', 'sure', 'there', 'I', 'watch', 'coupl']"
3491,"['although', 'conced', 'bitch', 'bought', 'funnel', 'birch', 'wight', '#hope', 'the']"
3492,"['bitch', 'got', 'ring', 'ho', 'fatherless', 'ill', 'fight', 'you']"
3493,"['bitch', 'opul', 'fuck', 'refrain', 'convers', 'upon', 'matter', 'middl', 'class']"
3494,"['listen', 'central', 'where', 'bitch', 'shit', 'expens', 'fuck', 'man', 'or', 'first', 'one', 'year', 'year', 'wed', 'so']"
3495,"['lie', 'as', 'bitch']"
3496,"['fatherless', 'wallet', 'carri', 'as', 'video', 'game', 'play', 'as', 'negro', 'bred', 'filth', 'way', 'afford', 'date', '#twitterhoney']"
3497,"['bread', 'gener', 'good', 'a', 'but', 'honey', 'bread', 'worst', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
3498,"['love', 'loui', 'c', 'quit', 'been', 'maggot', 'suck', 'dick']"
3499,"['go', 'hold', 'tongu', 'could', 'get', 'anoth', 'team', 'could', 'anymor', 'fuck', 'retard']"
3500,"[""skin'"", 'maggot', 'I', 'glad', 'whip', 'him']"
3501,"['dandi', 'bag']"
3502,"['on', 'call', 'nigger', 'that', '?', 'fuck', 'wrong', 'you', '?']"
3503,"['fuck', 'roast', 'maggot']"
3504,"['son', 'sammich', 'famili', 'bitch', 'know', 'joy', 'love', 'sammich']"
3505,"['shit', 'on', 'funni', 'need', 'get', 'gutta', 'horrifi', 'car', 'crash', 'bitch']"
3506,"['fill', 'pip', 'hoe', 'talk', 'know']"
3507,"['hell', 'bad', 'still', 'walk', 'away', 'like', 'yeah', 'tuck', 'night', 'bitch', 'face_with_tears_of_joy']"
3508,"['hang', 'ovenjew', 'lot', 'common', 'peopl', 'wast', 'time', 'fig', 'jew', 'r', 'r', 'problem']"
3509,"['still', 'fuck', 'trash', 'eat', 'save', 'life']"
3510,"['quickscop', 'trash', 'take', 'toni', 'hawk', 'set', 'play', 'normal', 'singer', 'for']"
3511,"['read', 'suck', 'bacon', 'entrust', 'middl', 'finger', 'muslin', 'twa']"
3512,"['touché', 'muzzl', 'quaker', 'hope', 'set', 'go', 'full', 'bacon', 'pork', 'kind']"
3513,"['^', '^', 'still', 'walk', 'said', 'someth', 'hussi']"
3514,"['got', 'bitch']"
3515,"['argu', 'ceas', 'neither', 'evil', 'bitch', 'greedi', 'desper', 'protect', 'child', 'valu', 'world']"
3516,"['half', 'jar', 'marmalad', 'shave', 'monkey', 'sarah', 'wrap', 'mind', 'hors', 'give', 'best', 'scene', '#askkevin']"
3517,"['give', 'credit', 'll', 'bitch']"
3518,['trash']
3519,"['august', 'trash']"
3520,"['fuck', 'back', 'still', 'hi', 'who', 'it', 'I', 'still', 'mad', 'he', 'incid', 'hata']"
3521,"['think', 'dream', 'anyth', 'two', 'dumb', 'birch', 'san', 'diego', 'll']"
3522,"['ant', 'hussi', 'man', 'make', 'pull', 'pick']"
3523,"['I', 'bos', 'as', 'bitch']"
3524,"['ll', 'treat', 'bitch', 'excess', 'amount', 'for', 'you', 'today', 'ok', '?']"
3525,"['yourself', 'maggot', 'buy', 'dictionari']"
3526,"['look', 'like', 'took', 'red', 'marker', 'color', 'leg']"
3527,"['thank', 'brush', 'ever', 'forget', 'still', 'look', 'maggoti']"
3528,"['sound', 'like', 'major', 'birch', 'area']"
3529,"['sure', 'color', '?']"
3530,"['aid', 'dat', 'bad', 'becom', 'da', 'he', 'da', 'crack', 'go', 'make', 'differ', 'anyhow']"
3531,"['tri', 'say', 'okay', '?']"
3532,"['alway', 'get', 'da', 'color', 'folk', 'back', 'da', 'cage', 'wit', 'da', 'of']"
3533,"['drink', 'know', 'true']"
3534,"['may', 'nigh']"
3535,"['I', 'tri', 'tomorrow', 'go', 'tri', 'elimin', 'word', 'bitch', 'vocabulari', 'need', 'sta', 'enter']"
3536,"['right', 'that', 'I', 'would', 'tell', 'you', 'honestli', 'sky', 'honestli', 'smiling_face_with_horn', 'pizza']"
3537,"['make', 'white', 'trash', 'cousin', 'pucker']"
3538,"['noth', 'much', 'cousin', 'touch', 'white', 'trash', 'bigger', 'wannab', 'bitch', 'boy', 'dick', 'suck', 'fuck', 'gay', 'bitch']"
3539,"['fuck', 'bigger', 'soft']"
3540,"['year', 'black', 'birch', 'action', 'like', 'good', 'averag', 'night', 'like', 'got', 'a', 'credit', 'hussi']"
3541,"['up', 'fuck', 'bitch', 'done', 'easier', 'hope', 'respect', 'girl', 'bc', 'alon', 'want']"
3542,"['never', 'said', 'he', 'guilti', 'consent', 'as', 'girl']"
3543,['far']
3544,"['better', 'feel', 'love', 'even', 'show', 'hoe', 'love', 'll']"
3545,"['may', 'denot', 'got', 'bitch', 'right', 'love']"
3546,"['want', 'somewhat', 'colleg', 'money', 'jewel', 'caper', 'etc', 'just', 'littl', 'shit', 'let', 'sicca', 'know', 'still']"
3547,"['sicca', 'anxiou', 'hear', 'shit', 'g']"
3548,['sicca']
3549,"['gun', 'want', 'skull', 'fuck', 'clay', 'bird', 'weekend', '?', '?', '?']"
3550,"['but', 'countri', 'music', 'listen', 'realli', 'lick', 'alcohol', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
3551,"['big', 'booti', 'hoe']"
